60,273
60,273
60,273
60,272
60,273
60,273
60,272
60,273
60,273
61,273
61,273
61,274
61,274
61,273
61,273
61,273
61,273
61,274
60,274
61,273
60,273
60,273
60,273
60,273
61,273
60,275
62,273
62,274
61,273
63,272
63,272
62,273
60,274
61,273
60,273
62,273
62,273
62,274
62,273
59,272
61,272
62,272
61,273
59,273
58,272
58,272
59,273
61,272
62,273
62,273
62,273
61,274
60,273
58,273
58,273
59,273
63,273
62,274
58,273
58,272
58,272
59,272
60,272
61,272
62,273
63,273
63,273
63,273
63,273
61,273
61,273
59,273
58,273
58,272
63,273
63,273
64,273
63,274
63,274
62,274
59,273
65,273
65,273
64,274
62,273
61,274
59,273
59,273
56,271
57,272
65,273
64,274
55,273
55,271
53,271
67,272
70,272
68,275
65,275
59,275
51,273
56,272
76,274
73,274
69,275
65,274
44,271
51,269
64,272
79,273
83,274
83,275
80,275
55,273
48,271
38,272
43,271
70,274
39,272
25,271
17,270
13,270
14,269
115,274
13,269
6,268
13,268
23,271
33,270
